x y t case x_pre y_pre x_cor y_cor
3177.94 1126.86 21.3404 4 3177 1126 3177 1126
3177.94 1126.86 21.4661 4 3177 1126 3177 1126
3177.94 1126.86 21.5917 4 3177 1126 3177 1126
3177.94 1126.86 21.717 4 3177 1126 3177 1126
3177.94 1126.86 21.841 4 3177 1126 3177 1126
3177.94 1126.86 21.9643 4 3177 1126 3177 1126
3177.94 1126.86 22.09 4 3177 1126 3177 1126
3177.94 1126.86 22.2167 4 3177 1126 3177 1126
3177.94 1126.86 22.3402 4 3177 1126 3177 1126
3177.94 1126.86 22.4655 4 3177 1126 3177 1126
3177.94 1126.86 22.5876 4 3177 1126 3177 1126
3177.94 1126.86 22.7154 4 3177 1126 3177 1126
3177.94 1126.86 22.8394 4 3177 1126 3177 1126
3177.94 1126.86 22.9668 4 3177 1126 3177 1126
3177.94 1126.86 23.0896 4 3177 1126 3177 1126
3177.94 1126.86 23.2157 4 3177 1126 3177 1126
3177.94 1126.86 23.3392 4 3177 1126 3177 1126
3177.94 1126.86 23.4652 4 3177 1126 3177 1126
3177.94 1126.86 23.5872 4 3177 1126 3177 1126
3177.94 1126.86 23.7191 4 3177 1126 3177 1126
3177.94 1126.86 23.8375 4 3177 1126 3177 1126
3177.94 1126.86 23.9812 4 3177 1126 3177 1126
3177.94 1126.86 24.1417 4 3177 1126 3177 1126
3177.94 1126.86 24.2967 4 3177 1126 3177 1126
3177.94 1126.86 24.4464 4 3177 1126 3177 1126
3177.94 1126.86 24.573 4 3177 1126 3177 1126
3177.94 1126.86 24.6983 4 3177 1126 3177 1126
3177.94 1126.86 24.8245 4 3177 1126 3177 1126
3177.94 1126.86 24.9452 4 3177 1126 3177 1126
3177.94 1126.86 25.0725 4 3177 1126 3177 1126
3177.94 1126.86 25.1953 4 3177 1126 3177 1126
3177.94 1126.86 25.3233 4 3177 1126 3177 1126
3177.94 1126.86 25.4476 4 3177 1126 3177 1126
3177.94 1126.86 25.567 4 3177 1126 3177 1126
3177.94 1126.86 25.6954 4 3177 1126 3177 1126
3177.94 1126.86 25.8157 4 3177 1126 3177 1126
3177.94 1126.86 25.9438 4 3177 1126 3177 1126
3177.94 1126.86 26.0667 4 3177 1126 3177 1126
3177.94 1126.86 26.1921 4 3177 1126 3177 1126
3177.94 1126.86 26.3184 4 3177 1126 3177 1126
3177.94 1126.86 26.439 4 3177 1126 3177 1126
3177.94 1126.86 26.5674 4 3177 1126 3177 1126
3177.94 1126.86 26.6891 4 3177 1126 3177 1126
3177.94 1126.86 26.8149 4 3177 1126 3177 1126
3177.94 1126.86 26.939 4 3177 1126 3177 1126
3177.94 1126.86 27.0681 4 3177 1126 3177 1126
3177.94 1126.86 27.1891 4 3177 1126 3177 1126
3177.94 1126.86 27.3138 4 3177 1126 3177 1126
3177.94 1126.86 27.44 4 3177 1126 3177 1126
3177.94 1126.86 27.5634 4 3177 1126 3177 1126
3177.94 1126.86 27.6871 4 3177 1126 3177 1126
3177.94 1126.86 27.8117 4 3177 1126 3177 1126
3177.94 1126.86 27.9405 4 3177 1126 3177 1126
3177.94 1126.86 28.0647 4 3177 1126 3177 1126
3177.94 1126.86 28.1866 4 3177 1126 3177 1126
3177.94 1126.86 28.3183 4 3177 1126 3177 1126
3177.94 1126.86 28.4414 4 3177 1126 3177 1126
3177.94 1126.86 28.5673 4 3177 1126 3177 1126
3177.94 1126.86 28.6888 4 3177 1126 3177 1126
3177.94 1126.86 28.8131 4 3177 1126 3177 1126
3177.94 1126.86 28.9361 4 3177 1126 3177 1126
3177.94 1126.86 29.0626 4 3177 1126 3177 1126
3177.94 1126.86 29.1851 4 3177 1126 3177 1126
3177.94 1126.86 29.31 4 3177 1126 3177 1126
3177.94 1126.86 29.4356 4 3177 1126 3177 1126
3177.94 1126.86 29.5631 4 3177 1126 3177 1126
3177.94 1126.86 29.6837 4 3177 1126 3177 1126
3177.94 1126.86 29.8086 4 3177 1126 3177 1126
3177.94 1126.86 29.9386 4 3177 1126 3177 1126
3177.94 1126.86 30.0627 4 3177 1126 3177 1126
3177.94 1126.86 30.1852 4 3177 1126 3177 1126
3177.94 1126.86 30.3048 4 3177 1126 3177 1126
3177.94 1126.86 30.434 4 3177 1126 3177 1126
3177.94 1126.86 30.5562 4 3177 1126 3177 1126
3177.94 1126.86 30.6821 4 3177 1126 3177 1126
3177.94 1126.86 30.8085 4 3177 1126 3177 1126
